event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Possibwe food showtage $onOrAt $market,Anyawysis of the intewwigence gainyed fwom intewcepted comms and othew souwces suggests that a food showtage is wikewy to occuw $onOrAt $market within a few weeks.,Incweased food pwices and weduced stabiwity $onOrAt $market if the showtage occuws.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Wikewy food showtage $onOrAt $market,Anyawysis of the intewwigence gainyed fwom intewcepted comms and othew souwces suggests that a food showtage is aww but cewtain to occuw $onOrAt $market within a few weeks.,Incweased food pwices and weduced stabiwity $onOrAt $market if the showtage occuws.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Wikewy food showtage $onOrAt $market,"This wepowt indicates that a food showtage is aww but cewtain to occuw $onOrAt $market, and advises unyits in the awea on what steps couwd be taken to maximize its impact.","Wewief fweet wikewy to be sent fwom a nyeawby staw system; intewcepting it wiww extend the showtage and fuwthew destabiwize $market.

Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Wikewy food showtage $onOrAt $market,"This wepowt indicates that a food showtage is aww but cewtain to occuw $onOrAt $market, and advises unyits to stand by to pwovide assistance.",Dewivewing enyough food to $market quickwy wiww weduce the duwation and impact of the showtage.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Food showtage $onOrAt $market,"The wepowt discusses the food showtage $onOrAt $market and pwovides a bawanced pewspective, but faiws to pinpoint a specific cause. The most wikewy cuwpwit appeaws to be a cascading ewwow in a detewiowating wogistics system.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood unyits of food nyeeded to end showtage.
Wewief fweet wikewy to be sent fwom a nyeawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Cwiticaw food showtage $onOrAt $market,"The wepowt indicates the food showtage $onOrAt $market is unyusuawwy sevewe, and accuses $theMarketFaction adminyistwation of pwecipitating a humanyitawian cwisis.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood unyits of food nyeeded to end showtage.

Wewief fweet wikewy to be sent fwom a nyeawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Awweged food showtage $onOrAt $market,"The wepowt fwatwy denyies any wumouws of a food showtage $onOrAt $market, and encouwages wesponsibwe citizens to do theiw pawt by wepowting anyonye suspected of spweading mawicious wumouws.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood unyits of food nyeeded to end showtage.

Wewief fweet wikewy to be sent fwom a nyeawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Food showtage $onOrAt $market: wewief being owganyized on $reliefMarket,Comm twaffic anyawysis indicates that a wewief fweet is being owganyized at $reliefMarket in $reliefSystem and wiww be sent to $market in the nyeaw futuwe.,"Fweet is cawwying enyough food to end the showtage.

If the fweet does nyot awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Food showtage $onOrAt $market: wewief being owganyized on $reliefMarket,"The wepowt indicates that a wewief fweet is being owganyized at $reliefMarket in $reliefSystem, and is wikewy to get undewway within a few weeks.","Fweet is cawwying enyough food to end the showtage.

If the fweet does nyot awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Food showtage $onOrAt $market: wewief being owganyized on $reliefMarket,"The wepowt indicates that a wewief fweet is being owganyized at $reliefMarket in $reliefSystem, and is wikewy to get undewway within a few days. Nyeawby unyits awe advised to ensuwe the fweet awwives to its destinyation safewy.","Fweet is cawwying enyough food to end the showtage.

If the fweet does nyot awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
